file,duration_s,der,false_alarm_s,missed_detection_s,confusion_s,total_speech_s,compute_s
CAR0001,625.77,1.1583,180.23,72.42,103.5,307.49,19.58
CAR0002,530.35,1.232,155.04,64.26,88.58,249.9,9.37
CAR0003,714.03,1.1754,192.8,104.65,110.54,347.11,12.9
CAR0004,448.29,1.3238,142.64,48.27,59.96,189.51,7.96
CAR0005,626.92,1.0659,163.36,87.5,95.96,325.37,10.54
DER0001,645.89,1.4685,233.4,68.85,90.38,267.36,11.23
GAS0001,570.76,1.2924,178.2,88.37,88.4,274.67,9.65
GAS0002,585.2,1.0625,148.97,74.25,115.38,318.69,10.07
GAS0003,522.02,1.1787,144.65,63.88,86.81,250.56,9.3
GAS0004,646.8,1.3581,213.21,76.75,87.32,277.8,10.75
GAS0005,828.85,1.3276,294.11,74.22,152.56,392.34,13.94
GAS0007,398.51,1.0341,94.8,54.03,74.82,216.26,7.21
GEN0001,467.58,1.1361,129.06,51.92,89.95,238.49,8.58
MSK0001,529.88,1.1011,129.98,58.35,93.28,255.74,9.44
MSK0003,931.86,1.6909,401.21,69.27,139.94,361.01,16.87
MSK0004,569.06,1.1638,185.01,55.43,77.96,273.59,9.9
MSK0005,825.02,1.2718,283.33,67.43,136.64,383.23,15.12
MSK0006,961.19,1.2452,312.14,84.3,164.64,450.59,17.46
MSK0007,813.16,1.3446,262.39,111.48,91.43,346.05,15.07
MSK0008,874.22,1.1494,242.07,118.42,117.55,415.9,15.8
MSK0009,925.63,1.724,354.71,93.75,96.27,315.97,15.73
MSK0010,815.21,1.421,277.07,115.23,119.73,360.34,13.8
MSK0011,745.67,1.4384,271.05,87.37,110.59,326.06,12.7
MSK0012,852.09,1.4832,316.05,98.33,123.08,362.37,15.14
MSK0013,905.44,1.4438,310.38,117.26,134.2,389.15,16.27
MSK0014,845.79,1.5446,318.59,96.76,101.54,334.64,14.34
MSK0015,881.29,1.7241,370.28,79.98,95.69,316.67,15.51
MSK0016,1100.18,1.4893,444.36,99.47,173.71,481.79,19.78
MSK0017,925.5,1.2861,327.55,86.44,144.53,434.26,18.52
MSK0018,514.57,2.131,255.47,48.06,39.44,160.94,11.18
MSK0019,712.54,1.871,339.73,45.38,84.55,251.02,14.05
MSK0020,928.44,1.7765,422.75,69.93,122.93,346.54,17.39
MSK0021,874.63,1.8027,394.24,75.96,90.75,311.18,17.93
MSK0022,1060.31,1.7653,465.02,100.3,148.89,404.58,19.35
MSK0023,582.25,1.8767,259.77,50.35,68.43,201.71,10.5
MSK0024,635.75,1.3177,213.81,91.36,84.09,295.41,12.44
MSK0025,778.48,1.654,320.65,49.25,99.82,283.98,15.72
MSK0026,776.18,1.4312,265.4,82.21,100.38,313.03,15.58
MSK0027,738.0,1.3137,246.5,75.16,89.68,313.12,14.59
MSK0028,940.48,1.2614,301.7,125.19,139.83,449.26,17.56
MSK0029,1114.66,1.8549,501.39,76.23,139.79,386.76,20.63
MSK0031,662.59,1.5847,264.54,62.97,85.76,260.79,13.08
MSK0032,644.58,1.5515,256.4,63.89,100.2,271.01,12.63
MSK0033,785.46,1.6319,330.95,78.15,78.86,299.02,14.9
MSK0034,740.28,1.2143,239.94,85.95,103.07,353.25,14.79
MSK0035,821.69,1.2809,253.56,130.44,132.07,402.89,16.9
MSK0036,952.89,1.2999,299.76,115.5,148.55,433.73,17.89
MSK0037,913.51,1.2915,277.25,123.78,141.45,420.04,17.26
MSK0038,1031.07,1.4619,420.35,90.08,140.79,445.45,19.83
MSK0039,708.28,1.2297,226.98,83.85,134.28,361.96,14.05
MSK0040,809.71,1.2841,264.53,102.95,117.95,378.04,15.21
MSK0041,921.69,1.4878,343.05,78.76,143.22,379.77,17.47
MSK0042,873.33,1.8174,359.68,65.32,113.06,296.07,15.99
MSK0043,884.99,1.5955,353.8,100.91,108.43,352.96,16.89
MSK0044,557.14,1.4585,209.85,46.2,77.66,228.8,10.64
MSK0045,682.61,1.4438,250.25,65.04,105.61,291.51,13.12
MSK0046,620.61,1.2604,199.47,67.44,90.1,283.26,11.76
MSK0049,759.41,1.1551,223.01,82.86,113.66,363.22,14.92
MSK0050,729.55,1.13,206.34,87.71,113.09,360.3,13.7
RES0001,798.98,1.5629,298.27,76.83,106.86,308.37,14.88
RES0002,656.37,1.0,490.66,0.0,0.0,0.0,6.6
RES0003,660.39,1.5798,261.63,57.38,78.22,251.45,12.36
RES0004,902.14,1.4359,319.83,126.28,136.36,405.66,17.03
RES0005,821.68,1.4372,286.5,73.73,135.42,344.88,15.71
RES0006,668.54,1.3153,224.33,58.66,75.33,272.43,13.16
RES0007,946.74,1.6623,387.76,98.48,101.8,353.75,17.42
RES0008,562.01,1.2924,184.29,64.6,90.79,262.83,10.4
RES0009,768.31,1.8613,338.95,66.93,96.74,270.04,13.68
RES0010,596.14,1.7228,242.56,45.02,64.26,204.22,11.24
RES0011,905.7,1.3751,304.67,108.02,147.62,407.46,16.4
RES0012,1052.61,1.5568,430.38,100.66,166.66,448.17,20.41
RES0013,676.51,1.8929,316.44,64.82,64.43,235.46,12.97
RES0014,696.14,1.3478,250.0,58.32,81.13,288.96,13.4
RES0015,807.56,1.3313,267.95,84.7,135.22,366.45,15.47
RES0016,685.08,1.3107,217.42,74.26,106.38,303.7,13.61
RES0017,880.75,1.2866,289.16,109.14,141.1,419.26,16.51
RES0018,623.08,1.3364,211.45,74.69,99.43,288.52,12.59
RES0019,785.29,1.6651,300.52,75.12,101.53,286.57,15.09
RES0020,831.83,1.4219,290.46,98.46,113.46,353.31,16.25
RES0021,736.78,1.4778,260.65,74.66,105.04,297.98,14.44
RES0022,1020.53,1.6028,398.92,87.2,146.24,394.54,18.71
RES0023,545.01,1.4064,185.88,64.11,79.61,234.36,10.35
RES0024,562.83,1.4795,202.04,54.12,67.39,218.69,11.01
RES0025,721.79,1.7146,295.62,73.82,87.63,266.57,12.72
RES0026,870.79,1.3598,293.46,101.67,134.49,389.49,17.16
RES0027,777.88,1.3815,265.12,94.82,127.72,353.0,14.64
RES0028,569.37,1.1923,163.28,82.8,95.39,286.38,10.95
RES0029,404.08,1.1314,105.18,46.37,76.26,201.36,7.75
RES0030,598.54,0.7471,122.89,50.12,86.16,346.88,11.01
RES0031,616.91,1.2253,194.73,70.56,97.48,296.08,12.06
RES0032,581.35,1.0919,147.03,89.45,112.78,319.85,11.58
RES0033,707.46,1.2623,247.66,49.27,137.81,344.4,12.82
RES0034,850.21,1.2416,271.48,100.36,152.03,421.92,15.78
RES0035,499.7,1.0768,114.66,53.72,86.36,236.56,11.26
RES0036,751.57,1.1876,206.06,123.79,108.4,369.02,15.29
RES0037,774.05,1.3981,254.05,85.39,115.39,325.31,14.35
RES0038,749.82,1.2837,240.89,83.18,112.46,340.06,14.65
RES0039,849.08,1.2768,280.1,96.1,112.25,382.56,15.8
RES0042,685.24,1.7909,279.1,58.0,85.21,235.81,13.12
RES0043,749.94,1.4623,280.96,83.74,97.24,315.89,14.45
RES0044,898.22,1.4315,345.43,98.58,102.58,381.84,17.93
RES0045,659.83,1.1915,197.78,86.82,83.09,308.59,12.94
RES0046,859.43,1.2618,266.14,114.32,139.87,412.38,16.48
RES0047,928.54,1.4031,324.64,113.96,118.63,397.16,17.93
RES0048,905.37,1.2552,290.19,113.29,149.16,440.27,16.96
RES0049,766.47,1.5075,294.09,71.14,109.22,314.73,14.65
RES0050,628.47,1.2826,196.11,75.86,99.88,289.93,12.21
RES0051,596.48,1.3394,194.27,70.69,61.84,244.0,11.41
RES0052,588.7,1.4,193.07,89.77,67.22,250.04,11.02
RES0053,921.53,2.0546,472.71,68.4,124.14,323.78,17.28
RES0054,1051.04,1.0,847.88,0.0,0.0,0.0,10.74
RES0055,761.88,1.6228,293.77,62.55,83.84,271.23,14.12
RES0056,656.58,1.5965,245.69,70.69,83.4,250.4,13.01
RES0057,743.09,1.5387,285.37,64.56,96.6,290.2,13.4
RES0058,853.67,1.5765,319.45,93.43,110.06,331.71,16.33
RES0059,767.66,1.7893,322.18,80.76,94.06,277.76,15.08
RES0060,947.28,1.4452,344.46,89.83,131.52,391.5,17.57
RES0061,963.99,1.5902,381.32,92.31,133.96,382.09,18.34
RES0062,1069.03,1.4693,400.23,120.41,171.35,470.95,19.9
RES0063,740.03,1.7101,327.16,51.5,100.22,280.04,13.89
RES0064,551.96,1.6362,225.8,37.34,82.12,211.01,11.0
RES0065,613.0,1.2224,179.64,92.01,85.12,291.85,11.38
RES0066,651.43,1.2191,187.27,94.91,106.69,318.99,12.45
RES0067,448.73,1.9389,219.29,16.45,50.82,147.8,8.92
RES0068,664.97,1.5184,250.42,58.11,91.06,263.16,12.67
RES0069,586.02,1.1885,171.32,83.22,87.26,287.57,11.18
RES0070,574.06,1.1388,148.43,109.89,94.11,309.46,11.08
RES0071,741.02,1.2511,248.68,87.63,91.46,341.92,14.21
RES0072,681.22,1.4646,251.9,62.12,103.06,284.77,12.88
RES0073,711.92,1.6049,294.9,48.22,107.96,281.06,13.24
RES0074,716.09,1.3038,251.45,60.95,123.01,333.96,13.17
RES0075,595.65,1.3718,211.43,67.87,91.21,270.1,11.58
RES0076,770.41,1.3291,257.76,96.45,121.87,358.19,14.68
RES0077,843.27,1.6205,332.96,79.87,114.67,325.53,15.64
RES0078,712.91,1.2448,207.43,99.64,119.8,342.92,13.26
RES0079,510.0,1.2687,162.48,64.3,74.67,237.61,9.42
RES0080,679.64,1.4296,255.38,73.34,102.71,301.78,12.75
RES0081,781.92,1.1801,254.03,74.14,138.8,395.72,14.45
RES0082,501.25,1.237,167.16,56.68,79.22,245.01,9.45
RES0083,591.75,1.5281,224.22,43.18,83.65,229.73,10.94
RES0084,869.07,1.5049,347.39,76.87,130.7,368.78,16.63
RES0085,523.07,1.3475,194.46,48.85,71.88,233.9,9.86
RES0086,786.56,1.2929,295.64,68.64,117.88,372.92,14.75
RES0087,675.65,1.4346,254.96,66.62,115.67,304.8,13.05
RES0088,740.18,1.1561,221.7,70.56,140.96,374.74,13.98
RES0089,981.85,1.3437,345.26,98.06,159.31,448.47,19.1
RES0090,603.93,1.3759,237.16,43.47,60.75,248.11,11.66
RES0091,420.69,1.4148,163.42,33.6,54.17,177.54,8.97
RES0092,435.96,1.2076,130.02,41.31,77.02,205.65,8.28
RES0093,876.14,1.7158,381.74,104.58,111.17,348.23,16.02
RES0094,430.77,0.9648,110.6,41.29,72.75,232.84,8.31
RES0095,754.38,1.1456,230.78,93.16,118.77,386.46,14.2
RES0096,699.52,1.3312,228.25,68.83,114.34,309.05,13.6
RES0097,736.97,1.4115,263.87,76.83,124.62,329.67,14.08
RES0098,680.13,1.6695,294.73,34.65,99.53,256.9,12.81
RES0099,745.56,1.4111,280.27,55.33,139.38,336.61,14.23
RES0100,838.71,1.0828,235.65,71.7,163.01,434.4,15.75
RES0101,693.89,1.3281,241.04,68.51,97.76,306.69,12.57
RES0102,995.02,1.3101,364.25,103.24,155.45,475.48,17.64
RES0103,546.37,1.5232,213.26,48.61,78.13,223.22,10.07
RES0104,767.32,1.2267,243.3,79.05,119.67,360.33,14.14
RES0105,773.71,1.3623,272.11,71.95,123.0,342.84,14.6
RES0106,608.04,1.6681,250.62,48.53,85.98,230.88,13.01
RES0107,779.16,1.6441,348.13,55.28,122.67,319.98,16.08
RES0108,462.69,1.3805,169.64,47.01,55.28,196.98,10.3
RES0109,442.86,1.3335,156.42,37.58,60.8,191.08,9.07
RES0110,839.03,1.4852,323.84,64.2,123.92,344.72,15.58
RES0111,527.35,1.5704,200.78,29.8,74.36,194.18,10.96
RES0112,450.69,1.2328,147.87,36.68,79.28,214.02,8.52
RES0113,522.31,1.3281,172.96,43.18,91.6,231.71,11.06
RES0114,788.75,1.5818,315.41,66.34,122.1,318.54,15.54
RES0116,711.77,1.6299,305.22,52.58,99.27,280.43,14.73
RES0117,464.38,1.5533,180.79,37.21,65.44,182.48,9.77
RES0118,477.22,1.1626,138.62,59.23,76.56,236.04,9.78
RES0119,649.98,1.2598,218.39,70.7,100.67,309.37,12.07
RES0120,674.45,1.4996,247.73,61.32,99.6,272.5,13.01
RES0121,471.53,1.6916,189.18,42.36,52.56,167.95,9.33
RES0122,506.15,1.6519,206.45,32.59,76.9,191.26,10.51
RES0123,742.38,1.5285,302.0,53.3,105.51,301.49,15.23
RES0124,828.04,1.6341,344.97,70.09,118.41,326.46,15.88
RES0125,711.42,1.7606,300.9,53.9,93.69,254.73,14.55
RES0126,851.47,1.7826,353.8,78.0,109.74,303.79,18.71
RES0127,661.49,1.4728,250.97,56.44,111.95,284.75,12.81
RES0128,568.02,1.6254,230.94,42.02,81.86,218.3,11.21
RES0129,548.76,1.6015,214.64,54.46,77.67,216.52,10.76
RES0130,653.04,1.8178,284.29,59.31,87.1,236.93,12.56
RES0131,636.53,1.5329,236.22,71.56,76.38,250.6,12.39
RES0132,707.18,1.6327,285.62,55.05,107.85,274.72,13.45
RES0133,665.23,1.5181,258.14,51.97,86.21,261.05,12.61
RES0134,860.88,1.3031,279.46,90.24,147.17,396.65,16.85
RES0135,684.31,1.3545,235.01,66.88,111.23,305.0,12.86
RES0136,694.24,1.3399,228.3,78.52,88.9,295.32,13.95
RES0137,640.57,1.9902,299.27,48.09,67.5,208.46,13.19
RES0138,600.65,1.5553,215.05,73.19,66.4,228.01,12.77
RES0139,575.64,1.5266,213.31,57.98,62.05,218.35,12.03
RES0140,454.01,1.7445,197.9,38.7,64.49,172.6,8.35
RES0141,505.59,1.34,181.08,42.71,53.07,206.61,10.04
RES0142,428.75,1.7717,186.49,38.92,50.95,155.99,9.04
RES0143,571.07,1.4089,207.05,70.64,84.12,256.8,10.92
RES0144,575.34,1.7337,240.56,30.87,73.39,198.89,10.18
RES0145,711.39,1.5229,281.19,72.92,98.53,297.22,13.5
RES0146,508.33,1.38,170.4,62.81,74.07,222.68,9.92
RES0147,711.29,1.7036,297.81,53.45,98.04,263.73,12.73
RES0148,669.1,1.3332,223.72,83.7,100.75,306.16,12.24
RES0149,684.76,1.273,222.19,84.54,100.53,319.92,13.17
RES0150,675.88,1.1725,207.14,74.64,100.66,326.17,12.65
RES0151,650.44,1.1993,180.59,75.51,105.05,301.14,12.52
RES0152,595.03,1.0259,162.0,77.02,78.65,309.66,10.85
RES0153,610.48,1.2723,199.91,75.44,101.35,296.08,11.69
RES0154,557.83,1.3708,193.11,63.77,84.9,249.34,10.88
RES0155,772.0,1.2844,256.48,89.64,127.99,369.12,14.18
RES0156,548.08,1.1002,161.03,61.3,97.47,290.67,10.1
RES0158,528.48,1.0806,160.36,64.38,60.27,263.76,9.94
RES0159,603.17,1.1261,163.01,89.88,94.14,308.17,11.03
RES0160,613.56,1.5768,219.9,51.76,83.15,225.02,11.14
RES0161,501.01,1.6162,208.01,48.36,63.21,197.74,9.8
RES0162,615.83,1.0279,171.31,58.82,86.27,307.81,11.54
RES0163,618.03,1.3507,192.12,71.12,95.45,265.56,12.21
RES0164,662.01,1.5456,242.85,78.6,85.48,263.29,12.64
RES0165,501.93,1.6059,178.75,48.27,50.16,172.6,10.78
RES0166,606.45,1.3104,191.84,70.67,74.82,257.43,13.18
RES0167,608.59,1.7339,255.41,67.12,79.5,231.87,12.25
RES0168,653.07,1.4051,240.8,55.77,104.23,285.25,14.48
RES0169,507.0,1.8536,219.82,43.63,62.69,175.95,10.37
RES0170,667.56,1.7346,292.18,46.38,90.18,247.16,13.14
RES0171,704.37,1.9878,336.75,58.05,85.24,241.49,13.94
RES0172,568.8,2.075,261.04,35.22,70.14,176.58,14.07
RES0173,646.07,1.2831,215.51,49.9,94.82,280.75,14.05
RES0174,830.92,1.3449,275.7,69.16,143.85,363.37,17.95
RES0175,513.04,1.4118,170.69,45.02,82.2,211.02,10.88
RES0176,724.17,1.4284,268.51,88.15,89.99,312.7,15.42
RES0177,642.17,1.5462,260.98,58.51,91.84,266.03,13.47
RES0178,605.11,1.6736,244.4,47.81,87.07,226.62,12.7
RES0179,704.34,1.3513,238.05,95.67,94.1,316.59,15.78
RES0180,577.26,1.7855,241.11,59.02,65.34,204.69,12.11
RES0181,658.16,1.6158,256.43,65.62,92.64,256.65,14.15
RES0182,566.23,1.2537,180.06,60.05,70.04,247.4,12.14
RES0183,710.41,1.3737,248.91,73.56,101.57,308.69,16.35
RES0184,554.2,1.3144,172.14,77.4,64.18,238.69,12.57
RES0185,574.64,1.8948,245.59,56.23,63.71,192.91,12.25
RES0186,532.97,1.6801,213.84,32.15,76.39,191.87,11.59
RES0187,699.4,1.4153,255.04,68.7,111.79,307.72,15.22
RES0188,500.27,1.2305,176.87,48.98,62.73,234.51,10.75
RES0189,751.73,1.6077,323.79,53.46,98.61,295.99,15.42
RES0190,681.16,1.5365,269.81,56.34,100.14,277.44,14.85
RES0191,533.59,1.2407,156.77,65.75,80.6,244.31,12.04
RES0192,730.11,1.2987,249.2,89.98,120.81,354.19,16.12
RES0193,697.39,1.5863,301.04,46.74,120.81,295.41,13.94
RES0194,667.59,2.0275,327.19,41.43,79.08,220.81,14.32
RES0195,662.08,1.6638,271.67,65.83,94.88,259.86,13.87
RES0196,458.57,1.8287,201.88,31.08,58.66,159.47,9.75
RES0197,493.72,1.3667,175.65,45.18,78.24,218.83,9.71
RES0198,441.66,1.5656,176.29,39.1,51.72,170.61,8.9
RES0199,586.3,1.453,218.83,42.05,78.86,233.83,11.43
RES0200,679.36,1.6454,280.35,58.64,93.21,262.67,13.56
RES0201,595.21,1.5214,196.65,85.59,69.44,231.16,11.24
RES0202,756.76,1.8037,321.24,63.22,85.53,260.57,14.57
RES0203,477.04,1.1444,134.99,59.61,47.06,211.18,9.57
RES0204,463.63,1.5978,172.04,58.88,49.04,175.21,9.16
RES0205,489.04,1.2948,154.27,61.64,69.48,220.41,9.73
RES0206,692.38,1.5411,277.36,65.64,90.96,281.6,13.29
RES0207,434.35,1.0932,110.66,45.12,73.84,210.04,8.45
RES0208,656.33,1.9749,292.08,59.99,71.28,214.36,12.08
RES0209,562.52,1.3568,190.08,60.05,77.32,241.34,10.65
RES0210,486.32,1.1714,140.32,77.35,69.3,244.99,9.63
RES0211,608.09,1.4087,196.1,58.38,89.15,243.93,12.42
RES0212,524.82,1.1076,128.37,75.35,97.56,272.02,10.56
RES0213,558.33,1.1694,173.07,75.43,97.99,296.3,10.56
RES0214,537.18,1.0858,138.0,77.88,59.51,253.63,11.02
RES0215,625.37,0.8344,93.39,92.97,146.25,398.6,12.79
RES0216,627.65,1.1825,203.76,73.07,107.78,325.27,11.73
RES0217,513.84,0.9311,136.05,51.74,120.48,331.09,10.44
